,OffSex,OffRace,INCIDENT_DATE_LESS_,OFF_INJURE_DESC,OFF_HOSPIT,CitRace,CitSex,SUBJ_INJURE_DESC,CIT_ARREST,CIT_INFL_A,CITChargeT,SERVICE_TY,UOF_REASON,ForceType1
658,Male,White,1,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Service Call,Weapon Display,Taser Display at Person
659,Male,White,28,No injuries noted or visible,No,White,Male,Abrasion/Scrape,No,Mentally unstable,No Arrest,Service Call,Detention/Frisk,BD - Pushed
660,Female,White,26,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,Unknown Drugs,Other Agency Arrest,Call for Cover,Arrest,Pressure Points
661,Male,White,25,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,Burglary of a Vehicle,Arrest,Arrest,Weapon display at Person
662,Female,White,3,"Abrasion/Scrape, Bruise, Sore throat, excessive cough",No,Black,Male,Puncture,Yes,Unknown Drugs,"Assault/Public Servant, Drug Possession - Felony, Other Felony Arrest",Traffic Stop,Detention/Frisk,Feet/Leg/Knee Strike
663,Female,White,2,No injuries noted or visible,No,Hispanic,Male,Non-Visible Injury/Pain,Yes,Alchohol,DWI,Arrest,Arrest,Verbal Command
664,Male,Hispanic,1,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,NULL,Warrant/Hold,Arrest,Danger to self or others,Joint Locks
665,Male,White,8,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Unknown Drugs,"Robbery, Evading Arrest",Arrest,Arrest,Verbal Command
666,Male,White,8,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,No reason,Disorderly Conduct,Arrest,Arrest,Verbal Command
667,Male,Black,2,No injuries noted or visible,No,Black,Female,"Bruise, Treated by DFD",Yes,Mentally unstable,APOWW,Arrest,Danger to self or others,Taser Display at Person
668,Male,White,3,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,Assault,Arrest,Arrest,Verbal Command
669,Male,White,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,"Warrant/Hold, Resisting Arrest",Service Call,Arrest,Take Down - Arm
670,Male,White,9,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,No reason,"Traffic Violation, Resisting Arrest",Traffic Stop,Arrest,Verbal Command
671,Male,White,2,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,No reason,"Fail to ID, Resisting Arrest",Service Call,Arrest,Handcuffing Take Down
672,Male,White,9,Abrasion/Scrape,No,Black,Male,No injuries noted or visible,Yes,No reason,"Burglary/Building, Warrant/Hold",Crime in Progress,Arrest,Take Down - Body
673,Female,White,2,No injuries noted or visible,No,White,Male,No injuries noted or visible,No,FD-Suspect w/ Gun,No Arrest,Service Call,Weapon Display,Weapon display at Person
674,Female,Hispanic,3,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"DWI, Warrant/Hold",Traffic Stop,Arrest,Verbal Command
675,Male,White,1,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Alchohol,APOWW,Arrest,Arrest,Verbal Command
676,Male,White,2,No injuries noted or visible,No,Hispanic,Male,Taser Burn Marks,Yes,FD-Unknown if Armed,Other Misdemeanor Arrest,Suspicious Activity,Detention/Frisk,Take Down - Arm
677,Male,White,25,No injuries noted or visible,No,Hispanic,Male,"Abrasion/Scrape, TASER PRONGED, Redness/Swelling",Yes,Alchohol and unknown drugs,Evading Arrest,Call for Cover,Arrest,BD - Grabbed
678,Male,Hispanic,8,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,No reason,Warrant/Hold,Arrest,Arrest,BD - Grabbed
679,Male,White,3,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol,Assault/FV,Arrest,Weapon Display,Weapon display at Person
680,Male,White,3,Redness/Swelling,Yes,Hispanic,Male,"Taser Burn Marks, Abrasion/Scrape",Yes,No reason,Assault/Public Servant,Service Call,Active Aggression,Verbal Command
681,Male,White,26,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,No reason,"Evading Arrest, Unauthorize Use Vehicle",Arrest,Arrest,K-9 Deployment
682,Male,Hispanic,6,No injuries noted or visible,No,Black,Male,"Abrasion/Scrape, Bruise",No,Mentally unstable,No Arrest,Arrest,Arrest,Handcuffing Take Down
683,Male,White,21,No injuries noted or visible,No,Hispanic,Male,"iv pulled out of left arm, Injured prior to contact",Yes,Alchohol,"DWI, Resisting Arrest",Arrest,Arrest,BD - Grabbed
684,Male,Black,22,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,Assault/Public Servant,Arrest,Assault to Other Person,Joint Locks
685,Male,Hispanic,7,No injuries noted or visible,No,Hispanic,Male,"Abrasion/Scrape, Redness/Swelling, Taser Burn Marks",Yes,Alchohol,Evading Arrest,Service Call,Detention/Frisk,Verbal Command
686,Male,Hispanic,10,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,Mentally unstable,Assault/FV,Arrest,Arrest,Hand Controlled Escort
687,Female,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Crim Trespass/Hab/Weapon, Resisting Arrest",Call for Cover,Arrest,Weapon display at Person
688,Male,Black,27,No injuries noted or visible,No,Black,Male,Puncture,Yes,Unknown Drugs,APOWW,Arrest,Active Aggression,Taser
689,Male,Hispanic,0,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Warrant/Hold, Man/Del/Dangerous Drug",Arrest,Danger to self or others,Verbal Command
690,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,No,Alchohol and unknown drugs,No Arrest,Service Call,Danger to self or others,Verbal Command
691,Male,White,10,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Arrest,Assault to Other Person,BD - Grabbed
692,Male,White,8,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Traffic Violation,Service Call,Detention/Frisk,Verbal Command
693,Male,Asian,14,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"DWI, Warrant/Hold",Arrest,Arrest,Verbal Command
694,Male,White,2,No injuries noted or visible,No,White,Male,Injury Not Related to Force,Yes,Alchohol,"Resisting Arrest, Assault/FV",Arrest,Active Aggression,Feet/Leg/Knee Strike
695,Male,White,27,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Arrest,Held Suspect Down
696,Male,White,26,No injuries noted or visible,No,Black,Male,Puncture,Yes,FD-Unknown if Armed,"Unauthorize Use Vehicle, Burglary/Habitation, Evading Arrest",Arrest,Arrest,K-9 Deployment
697,Male,Hispanic,25,No injuries noted or visible,No,Other,Male,Abrasion/Scrape,Yes,Alchohol,DWI,Arrest,Arrest,Joint Locks
698,Male,Hispanic,6,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Resisting Arrest",Arrest,Arrest,Take Down - Head
699,Male,White,11,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Detention/Frisk,BD - Pushed
700,Male,Black,14,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,APOWW,Call for Cover,Arrest,Take Down - Arm
701,Male,Hispanic,3,No injuries noted or visible,No,White,Male,Abrasion/Scrape,Yes,Unknown Drugs,"Public Intoxication, Drug Possession - Misdemeanor, Resisting Arrest, Resisting Search and Transport",Arrest,Arrest,Hand Controlled Escort
702,Male,White,28,No injuries noted or visible,Yes,Hispanic,Male,"Bloody Nose, Redness/Swelling",Yes,Alchohol,Assault/Public Servant,Arrest,Active Aggression,Hand Controlled Escort
703,Male,Hispanic,11,No injuries noted or visible,No,Hispanic,Male,"Puncture, Laceration/Cut, Injured prior to contact",Yes,Alchohol and unknown drugs,"Assault/FV, Other Felony Arrest, Warrant/Hold",Arrest,Arrest,Verbal Command
704,Male,White,7,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Other ( In Narrative),Active Aggression,Take Down - Body
705,Male,White,13,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Service Call,Danger to self or others,BD - Pushed
706,Male,White,3,No injuries noted or visible,No,White,Male,Abrasion/Scrape,Yes,Unknown Drugs,"Public Intoxication, Drug Possession - Misdemeanor, Resisting Arrest",Arrest,Arrest,Held Suspect Down
707,Male,White,4,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,Warrant/Hold,Service Call,Active Aggression,Verbal Command
708,Male,White,8,No injuries noted or visible,No,Black,Female,No injuries noted or visible,No,No reason,No Arrest,Traffic Stop,Other,Weapon display at Person
709,Male,White,2,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,Warrant/Hold,Service Call,Detention/Frisk,Verbal Command
710,Male,Hispanic,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Assault/FV,Service Call,Weapon Display,Taser Display at Person
711,Male,White,2,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,"Drug Possession - Misdemeanor, Resisting Search and Transport, Other Felony Arrest",Arrest,Arrest,Verbal Command
712,Male,White,9,No injuries noted or visible,No,Black,Male,No injuries noted or visible,No,None detected,No Arrest,Service Call,Weapon Display,Weapon display at Person
713,Male,Hispanic,6,No injuries noted or visible,No,Black,Male,Taser Burn Marks,Yes,No reason,Evading Arrest,Arrest,Active Aggression,Verbal Command
714,Male,White,21,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,No,Alchohol and unknown drugs,No Arrest,Service Call,Other,Joint Locks
715,Male,White,2,No injuries noted or visible,No,Other,Male,"Taser Burn Marks, Treated by DFD",Yes,Alchohol,"Other Misdemeanor Arrest, Evading Arrest, Warrant/Hold",Arrest,Arrest,Verbal Command
716,Male,Hispanic,2,No injuries noted or visible,No,Black,Male,Taser Burn Marks,Yes,Mentally unstable,Burglary/Habitation,Service Call,Arrest,Verbal Command
717,Male,Hispanic,18,No injuries noted or visible,No,Black,Male,Non-Visible Injury/Pain,Yes,Alchohol,"Resisting Search and Transport, Other Misdemeanor Arrest",Arrest,Arrest,Held Suspect Down
718,Male,Hispanic,3,Abrasion/Scrape,No,Black,Male,Treated by DFD,Yes,No reason,"Evading Arrest, Drug Possession - Felony, Drug Possession - Misdemeanor, Warrant/Hold, Other Felony Arrest",Arrest,Arrest,Verbal Command
719,Female,White,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,No,Unknown Drugs,No Arrest,Suspicious Activity,Weapon Display,Verbal Command
720,Male,Hispanic,8,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,No reason,Prostitution,Arrest,Arrest,Verbal Command
721,Male,White,1,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,FD-Suspect w/ Gun,Burglary/Habitation,Service Call,Arrest,Verbal Command
722,Male,White,4,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,Alchohol,"Public Intoxication, Assault/Public Servant",Off-Duty Employment,Arrest,Verbal Command
723,Male,White,1,No injuries noted or visible,No,Black,Male,"Abrasion/Scrape, Bruise",Yes,Unknown Drugs,"Warrant/Hold, Resisting Search and Transport",Arrest,Active Aggression,Pressure Points
724,Male,White,15,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,Warrant/Hold,Service Call,Arrest,Take Down - Arm
725,Male,White,8,No injuries noted or visible,No,Black,Male,Taser Burn Marks,Yes,No reason,"Resisting Arrest, Fail to ID, Warrant/Hold",Arrest,Arrest,Taser Display at Person
726,Male,White,2,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Arrest,Danger to self or others,BD - Grabbed
727,Male,Asian,9,No injuries noted or visible,No,Hispanic,Male,Abrasion/Scrape,Yes,Alchohol,Public Intoxication,Arrest,Arrest,Verbal Command
728,Male,White,2,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,Other Felony Arrest,Arrest,Arrest,Take Down - Head
729,Male,White,9,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,"DWI, Resisting Arrest, DWLI",Service Call,Arrest,Verbal Command
730,Male,White,34,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Arrest,Active Aggression,Hand Controlled Escort
731,Male,White,3,No injuries noted or visible,No,Black,Male,Injured prior to contact,No,Alchohol and unknown drugs,No Arrest,Service Call,Danger to self or others,Held Suspect Down
732,Male,White,2,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,FD-Suspect w/ Gun,"Assault/FV, Other Felony Arrest, Robbery",Crime in Progress,Weapon Display,Weapon display at Person
733,Male,White,8,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,APOWW,Off-Duty Employment,Active Aggression,Verbal Command
734,Male,White,2,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,Unknown Drugs,"Drug Possession - Felony, Assault/FV, Drug Possession - Misdemeanor, Evading Arrest",Arrest,Arrest,Verbal Command
735,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,Evading Arrest,Pedestrian Stop,Detention/Frisk,Joint Locks
736,Male,Hispanic,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Motor Vehicle,"Fail to ID, Warrant/Hold, Other Misdemeanor Arrest",Arrest,Detention/Frisk,BD - Grabbed
737,Female,Other,2,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,NULL,"Drug Possession - Misdemeanor, Resisting Search and Transport, Other Felony Arrest",Service Call,Arrest,Verbal Command
738,Male,White,26,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,Burglary/Habitation,Service Call,Danger to self or others,Weapon display at Person
739,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,"Evading Arrest, Criminal Mischief",Arrest,Arrest,Verbal Command
740,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,"Drug Possession - Misdemeanor, Resisting Arrest",Arrest,Arrest,Held Suspect Down
741,Male,White,7,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Warrant/Hold, Other Felony Arrest, Drug Possession - Felony",Service Call,Arrest,Verbal Command
742,Male,White,2,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Arrest,Arrest,Held Suspect Down
743,Male,Black,25,No injuries noted or visible,Yes,Hispanic,Female,Laceration/Cut,Yes,Unknown Drugs,"APOWW, Criminal Mischief",Service Call,Danger to self or others,BD - Grabbed
744,Male,Black,20,No injuries noted or visible,No,NULL,Male,Puncture,Yes,Alchohol,Public Intoxication,Off-Duty Employment,Active Aggression,Taser
745,Male,White,10,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Call for Cover,Danger to self or others,BD - Grabbed
746,Male,Hispanic,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,Evading Arrest,Call for Cover,Arrest,Weapon display at Person
747,Male,White,10,No injuries noted or visible,No,White,Male,Abrasion/Scrape,Yes,Alchohol,"DWI, Resisting Search and Transport",Warrant Execution,Arrest,Verbal Command
748,Male,White,26,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,"Resisting Arrest, Warrant/Hold",Arrest,Active Aggression,Weapon display at Person
749,Male,Black,2,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol,"Resisting Arrest, Other Misdemeanor Arrest, Other Felony Arrest",Service Call,Arrest,BD - Grabbed
750,Male,White,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,APOWW,Service Call,Detention/Frisk,Take Down - Arm
751,Male,Black,11,No injuries noted or visible,Yes,Black,Male,No injuries noted or visible,Yes,Mentally unstable,Assault/Public Servant,Call for Cover,Assault to Other Person,Taser
752,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,Public Intoxication,Arrest,Arrest,BD - Grabbed
753,Male,Asian,2,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Barricaded Person,Weapon display at Person
754,Female,White,2,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,Unknown Drugs,"Warrant/Hold, Resisting Arrest",Arrest,Arrest,Hand Controlled Escort
755,Male,Hispanic,24,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,APOWW,Call for Cover,Active Aggression,BD - Grabbed
756,Female,White,2,No injuries noted or visible,No,NULL,Female,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Arrest,Active Aggression,Verbal Command
757,Male,Black,7,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,Assault/FV,Service Call,Arrest,Take Down - Arm
758,Male,Hispanic,3,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol,"DWI, Drug Possession - Misdemeanor, Resisting Arrest, Escape",Traffic Stop,Arrest,Pressure Points
759,Female,White,14,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Sleeping in Public,Suspicious Activity,Detention/Frisk,Verbal Command
760,Male,Hispanic,1,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,No reason,"Assault/FV, Assault/Public Servant",Service Call,Arrest,Verbal Command
761,Female,White,3,Soreness/loss of strength,No,Black,Female,No injuries noted or visible,Yes,No reason,APOWW,Service Call,Arrest,Verbal Command
762,Male,Black,7,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,"Assault/FV, Fail to ID, Resisting Arrest, Warrant/Hold, Other Misdemeanor Arrest",Arrest,Arrest,Hand Controlled Escort
763,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Drug Possession - Misdemeanor, Resisting Arrest, Warrant/Hold",Arrest,Arrest,Verbal Command
764,Male,White,13,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,"Resisting Search and Transport, Assault",Arrest,Active Aggression,Held Suspect Down
765,Male,White,27,No injuries noted or visible,No,White,Male,No injuries noted or visible,No,No reason,No Arrest,Service Call,Other,Hand Controlled Escort
766,Male,Hispanic,1,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,None detected,"Resisting Arrest, Warrant/Hold",Arrest,Arrest,Pressure Points
767,Male,Hispanic,28,No injuries noted or visible,No,White,Male,Abrasion/Scrape,Yes,NULL,"Assault/FV, Evading Arrest, Resisting Arrest",Arrest,Active Aggression,Feet/Leg/Knee Strike
768,Male,White,2,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Public Intoxication, Drug Possession - Misdemeanor",Arrest,Arrest,Verbal Command
769,Male,White,27,No injuries noted or visible,No,White,Male,"Abrasion/Scrape, Hospitalized, Taser Burn Marks, Treated by DFD",No,Mentally unstable,No Arrest,Service Call,Danger to self or others,Verbal Command
770,Male,Other,5,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,Alchohol,Warrant/Hold,Call for Cover,Active Aggression,Held Suspect Down
771,Female,Hispanic,4,No injuries noted or visible,No,White,Female,Abrasion/Scrape,Yes,Mentally unstable,APOWW,Service Call,Arrest,Take Down - Arm
772,Male,White,25,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Assault/FV,Call for Cover,Other,BD - Grabbed
773,Female,White,3,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,Burglary/Habitation,Service Call,Danger to self or others,Weapon display at Person
774,Female,White,13,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,"Assault, Criminal Mischief, Assault/Public Servant",Arrest,Arrest,Verbal Command
775,Male,Hispanic,19,"Bite, redness/pain",Yes,Hispanic,Male,"Bloody Nose, Bruise, Laceration/Cut",Yes,Alchohol and unknown drugs,Assault/Public Servant,Off-Duty Employment,Assault to Other Person,Verbal Command
776,Male,Asian,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,"Burglary/Habitation, Resisting Arrest",Arrest,Assault to Other Person,Weapon display at Person
777,Male,White,9,No injuries noted or visible,No,Hispanic,Male,Laceration/Cut,Yes,No reason,"Burglary of a Vehicle, Drug Possession - Felony",Arrest,Active Aggression,Held Suspect Down
778,Male,White,3,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,None detected,"Resisting Search and Transport, DWLI, Other Misdemeanor Arrest",Arrest,Arrest,Verbal Command
779,Male,Hispanic,1,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Marijuana,Other Felony Arrest,Arrest,Arrest,Weapon display at Person
780,Male,Black,7,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,Unknown Drugs,APOWW,Service Call,Danger to self or others,Weapon display at Person
781,Male,White,12,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Alchohol and unknown drugs,"DWLI, Warrant/Hold, Assault, Criminal Mischief, Resisting Search and Transport, Other Felony Arrest",Arrest,Arrest,Verbal Command
782,Male,White,9,"Dizziness, Elevated Heart Rate, Fatigue, Laceration/Cut, Redness/Swelling, Sprain/Strain",Yes,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,Assault/Public Servant,Crime in Progress,Active Aggression,Taser Display at Person
783,Male,White,6,No injuries noted or visible,No,White,Male,Abrasion/Scrape,Yes,None detected,"Traffic Violation, Resisting Arrest",Suspicious Activity,Active Aggression,Take Down - Body
784,Male,Hispanic,14,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Resisting Arrest, Fail to ID, Warrant/Hold, Other Felony Arrest",Arrest,Arrest,Joint Locks
785,Male,Black,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,"Assault/FV, Resisting Arrest",Arrest,Danger to self or others,Held Suspect Down
786,Male,White,3,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,Unknown Drugs,"Unauthorize Use Vehicle, Evading Arrest",Arrest,Arrest,Held Suspect Down
787,Male,Hispanic,20,No injuries noted or visible,No,White,Male,"Abrasion/Scrape, Laceration/Cut, Redness/Swelling",Yes,Unknown Drugs,"Public Intoxication, Evading Arrest",Service Call,Active Aggression,Take Down - Body
788,Male,White,4,No injuries noted or visible,No,Black,Male,"Abrasion/Scrape, Taser Burn Marks, Treated by DFD",Yes,None detected,"Evading Arrest, Resisting Arrest, Warrant/Hold",Arrest,Arrest,Verbal Command
789,Male,White,8,No injuries noted or visible,No,Hispanic,Male,Elevated Heart Rate,Yes,No reason,"Resisting Search and Transport, Warrant/Hold",Other ( In Narrative),Detention/Frisk,Verbal Command
790,Male,White,3,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,FD-Suspect w/ Gun,Other Felony Arrest,Arrest,Danger to self or others,Weapon display at Person
791,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Resisting Arrest, Public Intoxication, Other Felony Arrest",Service Call,Detention/Frisk,Joint Locks
792,Male,White,19,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Service Call,Active Aggression,Verbal Command
793,Male,White,27,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,"Warrant/Hold, Resisting Arrest",Service Call,Arrest,Take Down - Arm
794,Male,White,25,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,"Assault/FV, Other Felony Arrest",Service Call,Detention/Frisk,BD - Grabbed
795,Male,White,4,No injuries noted or visible,No,White,Male,CHIPPED FRONT LEFT TOOTH,Yes,No reason,"Unauthorize Use Vehicle, Evading Arrest, Drug Possession - Misdemeanor",Arrest,Arrest,Verbal Command
796,Male,Hispanic,3,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Arrest,Arrest,Hand/Arm/Elbow Strike
797,Male,White,7,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Danger to self or others,Verbal Command
798,Male,White,2,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Arrest,Take Down - Head
799,Male,White,2,No injuries noted or visible,No,Black,Male,No injuries noted or visible,No,Unknown Drugs,No Arrest,Service Call,Active Aggression,Taser
800,Male,Black,25,Bruise,No,White,Female,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Theft, Public Intoxication, Assault/Public Servant",Arrest,Arrest,BD - Grabbed
801,Female,White,3,No injuries noted or visible,No,White,Male,Abrasion/Scrape,Yes,Unknown Drugs,APOWW,Arrest,Danger to self or others,Verbal Command
802,Male,Asian,3,"Abrasion/Scrape, Sprain/Strain",No,White,Male,"Puncture, Abrasion/Scrape",Yes,Unknown Drugs,"Evading Arrest, Warrant/Hold",Arrest,Arrest,Take Down - Group
803,Male,White,10,Abrasion/Scrape,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,"Assault/FV, Assault/Public Servant",Service Call,Active Aggression,BD - Grabbed
804,Male,White,2,No injuries noted or visible,No,Black,Male,Taser Burn Marks,Yes,Mentally unstable,Burglary/Habitation,Arrest,Arrest,Verbal Command
805,Male,White,15,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Service Call,Arrest,Verbal Command
806,Female,Asian,3,PAIN,No,White,Female,No injuries noted or visible,Yes,Alchohol,Assault/Public Servant,Arrest,Arrest,BD - Grabbed
807,Male,White,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Drug Possession - Felony, Drug Possession - Misdemeanor, Warrant/Hold",Arrest,Active Aggression,Held Suspect Down
808,Male,Black,2,No injuries noted or visible,No,Black,Male,Injured prior to contact,Yes,Unknown Drugs,"Burglary/Habitation, Other Felony Arrest, Warrant/Hold",Crime in Progress,Arrest,Weapon display at Person
809,Male,White,4,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Public Intoxication, Resisting Arrest, Assault/Public Servant",Arrest,Danger to self or others,Held Suspect Down
810,Male,Hispanic,3,No injuries noted or visible,No,Black,Male,Taser Burn Marks,Yes,Alchohol and unknown drugs,"Resisting Arrest, Public Intoxication, Other Felony Arrest",Service Call,Detention/Frisk,Verbal Command
811,Male,White,2,No injuries noted or visible,No,Black,Male,No injuries noted or visible,No,None detected,No Arrest,Service Call,Detention/Frisk,Hand Controlled Escort
812,Female,Hispanic,14,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Danger to self or others,Take Down - Arm
813,Male,White,2,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,None detected,"Evading Arrest, Resisting Arrest, Drug Possession - Felony, Warrant/Hold",Service Call,Arrest,Verbal Command
814,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,No,Mentally unstable,No Arrest,Pedestrian Stop,Danger to self or others,Verbal Command
815,Male,White,3,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,No reason,Warrant/Hold,Service Call,Active Aggression,Verbal Command
